ROI,FRAME,#FISH
1,24,0
2,24,0
3,24,0
4,24,3
5,24,2
6,24,0
1,25,0
2,25,0
3,25,0
4,25,3
5,25,2
6,25,0
1,26,0
2,26,0
3,26,0
4,26,3
5,26,2
6,26,0
1,27,0
2,27,0
3,27,0
4,27,3
5,27,2
6,27,0
1,28,1
2,28,0
3,28,0
4,28,2
5,28,2
6,28,0
1,29,1
2,29,0
3,29,0
4,29,2
5,29,2
6,29,0
1,30,1
2,30,0
3,30,0
4,30,2
5,30,2
6,30,0
1,31,1
2,31,0
3,31,0
4,31,2
5,31,2
6,31,0
1,32,1
2,32,0
3,32,0
4,32,2
5,32,2
6,32,0
1,33,1
2,33,0
3,33,0
4,33,2
5,33,2
6,33,0
1,34,1
2,34,0
3,34,0
4,34,2
5,34,2
6,34,0
1,35,1
2,35,0
3,35,0
4,35,1
5,35,3
6,35,0
1,36,1
2,36,0
3,36,0
4,36,0
5,36,4
6,36,0
1,37,1
2,37,0
3,37,0
4,37,1
5,37,3
6,37,0
1,38,1
2,38,0
3,38,0
4,38,1
5,38,3
6,38,0
1,39,1
2,39,0
3,39,0
4,39,1
5,39,3
6,39,0
1,40,1
2,40,0
3,40,0
4,40,1
5,40,3
6,40,0
1,41,1
2,41,0
3,41,0
4,41,0
5,41,4
6,41,0
1,42,1
2,42,0
3,42,0
4,42,0
5,42,4
6,42,0
1,43,1
2,43,0
3,43,0
4,43,0
5,43,4
6,43,0
1,44,1
2,44,0
3,44,0
4,44,0
5,44,4
6,44,0
1,45,1
2,45,0
3,45,0
4,45,0
5,45,3
6,45,1
1,46,1
2,46,0
3,46,0
4,46,0
5,46,3
6,46,1
1,47,1
2,47,0
3,47,0
4,47,0
5,47,3
6,47,1
1,48,1
2,48,0
3,48,0
4,48,0
5,48,3
6,48,1
